1111H	2021-06-14 19:44:30.813652
1111H	2021-06-14 19:44:30.814650
1111H	2021-06-14 19:44:30.814650
1111H	2021-06-14 19:44:30.815680
1111H	2021-06-14 19:44:30.815680
1111H	2021-06-14 19:44:30.815680
1111H	2021-06-14 19:44:30.816677
1111H	2021-06-14 19:44:30.816677
1111H	2021-06-14 19:54:07.312705
1111H	2021-06-14 19:54:07.315696
1111H	2021-06-14 19:54:07.320683
1111H	2021-06-14 19:54:07.324685
1111H	2021-06-14 19:54:07.328700
1111H	2021-06-14 19:54:07.330663
1111H	2021-06-14 19:54:07.342630
1111H	2021-06-14 19:54:07.353604
1111H	2021-06-14 19:55:11.060524
1111H	2021-06-14 19:55:11.068505
1111H	2021-06-14 19:55:11.072492
1111H	2021-06-14 19:55:11.077479
1111H	2021-06-14 19:55:11.086455
1111H	2021-06-14 19:55:11.089444
1111H	2021-06-14 19:55:11.418711
1111H	2021-06-14 19:55:11.425687
1111H	2021-06-14 19:56:02.096208
1111H	2021-06-14 19:56:02.113178
1111H	2021-06-14 19:56:02.122159
1111H	2021-06-14 19:56:02.130116
1111H	2021-06-14 19:56:02.132112
1111H	2021-06-14 19:56:02.135121
1111H	2021-06-14 19:56:02.139093
1111H	2021-06-14 19:56:02.146075
1111H	2021-06-14 19:56:59.669407
1111H	2021-06-14 19:56:59.675389
1111H	2021-06-14 19:56:59.676386
1111H	2021-06-14 19:56:59.676386
1111H	2021-06-14 19:56:59.677383
1111H	2021-06-14 19:56:59.677383
1111H	2021-06-14 19:56:59.679379
1111H	2021-06-14 19:56:59.679379
